stage,step,qp,video_count,mean_kbps,mean_bpp,mean_LPIPS,mean_DISTS,mean_PSNR,mean_MS_SSIM
original,0,1,6,158.98487137862136,0.0025560619212962963,0.20856264093890786,0.11505476230134566,25.42011924775778,0.8438908743361632
original,0,3,6,290.51788836163837,0.004670661329732511,0.17310408844302097,0.10046170062075059,26.292970783395532,0.8772328104823828
stage_a,0,1,6,158.98487137862136,0.0025560619212962963,0.20856264093890786,0.11505476230134566,25.42011924775778,0.8438908743361632
stage_a,0,3,6,290.51788836163837,0.004670661329732511,0.17310408844302097,0.10046170062075059,26.292970783395532,0.8772328104823828
stage_a,1000,1,6,159.51454545454547,0.002564581725823045,0.19836410026376447,0.11405906577905019,24.764565189986673,0.8371764697755376
stage_a,1000,3,6,291.5337874625375,0.004686997653034979,0.16545640514232218,0.10139571006099383,25.586090560122972,0.8713764272009333
stage_a,2000,1,6,162.1297365134865,0.002606618119855967,0.19524858884202936,0.10974712669849396,24.934180076935686,0.8397799292579293
stage_a,2000,3,6,292.7637062937063,0.00470677002957819,0.1622033649861502,0.09582139955212672,25.771774085839727,0.8736904595668117
stage_a,5000,1,6,163.6506793206793,0.0026310723701131688,0.19203753881932548,0.11238325045754512,24.948896385851086,0.8395077353343368
stage_a,5000,3,6,296.96250124875127,0.004774265367798354,0.1596517542299504,0.09834678284823895,25.763665477444864,0.8735875735680262
stage_b,0,1,6,163.6506793206793,0.0026310723701131688,0.19203753881932548,0.11238325045754512,24.948896385851086,0.8395077353343368
stage_b,0,3,6,296.96250124875127,0.004774265367798354,0.1596517542299504,0.09834678284823895,25.763665477444864,0.8735875735680262
stage_b,2000,1,6,157.16768856143855,0.0025268454218106994,0.194599323750784,0.11205662072946627,25.08935289215341,0.8383853835985065
stage_b,2000,3,6,282.4074712787213,0.004540272151491769,0.16252178064314649,0.0987656672174732,25.971257129989244,0.8724208204075694
stage_b,5000,1,6,157.03016358641358,0.002524635095164609,0.19518611626699567,0.11339554935693741,24.620653297708827,0.8346327220400175
stage_b,5000,3,6,283.8586301198801,0.004563601144547325,0.16329816127351174,0.09987693931907415,25.45913856255986,0.8684488665312529
stage_b,10000,1,6,153.79408216783216,0.0024726120434670784,0.1961940273952981,0.11482750872770946,24.821080910996645,0.8330348813906312
stage_b,10000,3,6,274.9470829170829,0.004420331790123457,0.1637730191772183,0.1009973268955946,25.672348662778862,0.8669025199487805
stage_b,15000,1,6,154.4070929070929,0.0024824580439814815,0.192592614563182,0.11397300753742456,24.76529438510802,0.8352842787280679
stage_b,15000,3,6,275.09243006993006,0.004422662680041152,0.16172451566671953,0.1004235406095783,25.61917519082171,0.8683800681804618
stage_b,20000,1,6,154.630501998002,0.0024860548482510286,0.18962943511238942,0.10847378304849069,25.11681437422597,0.8377575169627866
stage_b,20000,3,6,271.102293956044,0.004358523019547325,0.15797987137921154,0.09460384864360094,25.972361339049314,0.8700684163098534
stage_b,30000,1,6,154.66177697302697,0.0024865571952160494,0.19070986607888094,0.11541057378053665,24.55091345602064,0.8321702564135194
stage_b,30000,3,6,270.78508366633366,0.0043534191743827165,0.16032160946633667,0.10368218676497538,25.362867436590943,0.8642489848037561
stage_b,40000,1,6,154.50460914085915,0.0024840253665123456,0.1886784634940947,0.11051612564673026,24.727154028873844,0.8321980827798446
stage_b,40000,3,6,274.1715084915085,0.004407853491512345,0.15803493557420248,0.09607416608681281,25.56258418122664,0.8652533876399199
stage_b,50000,1,6,153.3745566933067,0.002465860500257202,0.19020366416467974,0.10958759703983863,24.92149339167786,0.8352247082317868
stage_b,50000,3,6,273.0977634865135,0.004390592849794238,0.15878017572686076,0.09627109579741955,25.79107780798755,0.8680613189935684
